"Horodateur","Quel âge avez-vous ?  :","Sexe : ","Connaissez-vous Arduino ? :","Vous êtes intéressés par : ","Avez-vous déjà fait de la programmation ? ","Quel niveau avez-vous en programmation Arduino ? ","Quel niveau aimeriez-vous acquérir ? :","Cela vous dérange-t-il de lire du cours pour apprendre de nouvelles notions? :","Effectuer des montages électroniques vous pose-t-il un problème ? :","Êtes-vous autodidacte ? :"
"2016/05/04 8:41:06 AM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général;Robotique","Un peu","base","avancé","Non","Non, s'il y en a peu","Oui"
"2016/05/04 8:58:28 AM UTC+2","de 18 à 25 ans","M","NON","Aucun","Un peu","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/04 9:08:58 AM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique","Oui","base","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/04 9:39:45 AM UTC+2","plus de 60 ans","F","OUI","Aucun","Oui","expert","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/04 9:40:08 AM UTC+2","plus de 60 ans","F","OUI","Aucun","Oui","expert","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/04 9:40:29 AM UTC+2","plus de 60 ans","F","NON","Aucun","Oui","expert","expert","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/04 9:50:31 AM UTC+2","plus de 60 ans","F","OUI","Aucun","Oui","expert","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/04 9:50:56 AM UTC+2","plus de 60 ans","F","OUI","Aucun","Oui","expert","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/04 9:51:39 AM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Microprocesseur","Oui","aucun","base","Non","Non","Oui"
"2016/05/04 10:26:25 AM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général","Oui","aucun","base","Non","Non","Oui"
"2016/05/04 10:38:05 AM UTC+2","de 18 à 25 ans","M","NON","Robotique","Non","aucun","base","Non","Non","Oui"
"2016/05/04 10:39:44 AM UTC+2","de 18 à 25 ans","F","NON","Robotique;Domotique","Un peu","aucun","base","Non","Non","Oui"
"2016/05/04 10:41:11 AM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non","Non, s'il y en a peu","Oui"
"2016/05/04 10:43:57 AM UTC+2","de 25 à 30 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/04 10:48:12 AM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/04 10:52:45 AM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général;Robotique","Un peu","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/04 10:54:58 AM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général","Non","aucun","base","Oui","Non","Oui"
"2016/05/04 11:03:00 AM UTC+2","de 18 à 25 ans","M","NON","Aucun","Oui","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/04 11:04:44 AM UTC+2","de 18 à 25 ans","M","OUI","Robotique","Oui","aucun","avancé","Oui","Non","Oui"
"2016/05/04 11:40:05 AM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
